"gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue",,,,,,,,,,
"2883093505	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/61782614	Animalia	Chordata	Mammalia	Rodentia	Caviidae	Cavia	Cavia porcellus		SPECIES	Cavia porcellus (Linnaeus"," 1758)	Cavia porcellus		CO		Antioquia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	6.158946	-75.637235	5.0						2020-10-05T10:22:58	5	10	2020	5219702	5219702	HUMAN_OBSERVATION	iNaturalist	Observations	61782614		Laura Betancur	2020-10-05T15:26:21	CC_BY_NC_4_0	Laura Betancur	Laura Betancur			2020-10-18T15:26:48.271Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84",,,,,,,,,
"2873561416	f440262c-1d2c-11e2-8fd4-00145eb45e9a		Animalia	Chordata	Mammalia	Rodentia	Caviidae	Cavia	Cavia porcellus		SPECIES	Cavia porcellus (Linnaeus"," 1758)	Cavia porcellus (Linnaeus 1758)		DE			PRESENT		c76cf030-2a95-11da-9cc1-b8a03c50a862									2002-01-01T00:00:00			2002	5219702	5219702	PRESERVED_SPECIMEN	ZSRO	Collection Mammalogie	746-Ma-2020				CC_BY_4_0					2020-10-18T03:59:46.739Z		",,,,,,,,,
"2873561365	f440262c-1d2c-11e2-8fd4-00145eb45e9a		Animalia	Chordata	Mammalia	Rodentia	Caviidae	Cavia	Cavia porcellus		SPECIES	Cavia porcellus (Linnaeus"," 1758)	Cavia porcellus (Linnaeus 1758)		DE	Umgebung Wermelskirchen		PRESENT		c76cf030-2a95-11da-9cc1-b8a03c50a862									2005-01-01T00:00:00			2005	5219702	5219702	PRESERVED_SPECIMEN	ZSRO	Collection Mammalogie	915-Ma-2020				CC_BY_4_0					2020-10-18T03:59:46.710Z		",,,,,,,,,
"2871448591	4cb6c022-7654-4901-bb3d-e7028a26b1ac	UNIANDES:ANDES-M:2258	Animalia	Chordata	Mammalia	Rodentia	Caviidae	Cavia	Cavia porcellus		SPECIES	Cavia porcellus (Linnaeus"," 1758)	Cavia porcellus	(Linnaeus"," 1758)	CO	Chingaza		PRESENT		77c64839-4c99-4a40-beb3-cd16afc23540									2011-05-07T00:00:00	7	5	2011	5219702	5219702	PRESERVED_SPECIMEN	Universidad de los Andes (UniAndes)	ANDES-M	UANDES-M2258	DGS 002			CC_BY_NC_4_0		Diego Gomez			2020-10-09T17:18:03.951Z		",,,,,,,,
"2862358665	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/58544670	Animalia	Chordata	Mammalia	Rodentia	Caviidae	Cavia	Cavia porcellus		SPECIES	Cavia porcellus (Linnaeus"," 1758)	Cavia porcellus		EC		Tungurahua	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-1.333005	-78.540438	87.0						2020-08-10T13:05:00	10	8	2020	5219702	5219702	HUMAN_OBSERVATION	iNaturalist	Observations	58544670		Karen Proaño	2020-09-04T21:17:42	CC_BY_NC_4_0	Karen Proaño	Karen Proaño			2020-10-18T15:12:51.521Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84",,,,,,,,,
"2858052666	9a0b66df-7535-4f28-9f4e-5bc11b8b096c	Natuurpunt:Waarnemingen:197629892	Animalia	Chordata	Mammalia	Rodentia	Caviidae	Cavia	Cavia porcellus		SPECIES	Cavia porcellus (Linnaeus"," 1758)	Cavia porcellus	(Linnaeus"," 1758)	BE		Antwerp	PRESENT	1	4d3ceea8-5699-439d-a899-decac9cbbdac	51.23716	4.82225	10.0						2020-08-02T00:00:00	2	8	2020	5219702	5219702	HUMAN_OBSERVATION	Natuurpunt						CC0_1_0	Natuurpunt Studie				2020-10-16T15:26:20.429Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT",,,,,,,,
"2858036603	9a0b66df-7535-4f28-9f4e-5bc11b8b096c	Natuurpunt:Waarnemingen:197086838	Animalia	Chordata	Mammalia	Rodentia	Caviidae	Cavia	Cavia porcellus		SPECIES	Cavia porcellus (Linnaeus"," 1758)	Cavia porcellus	(Linnaeus"," 1758)	BE		Antwerp	PRESENT	1	4d3ceea8-5699-439d-a899-decac9cbbdac	51.23716	4.82224	10.0						2020-07-26T00:00:00	26	7	2020	5219702	5219702	HUMAN_OBSERVATION	Natuurpunt						CC0_1_0	Natuurpunt Studie				2020-10-16T15:24:24.150Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT",,,,,,,,
"2856505669	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/57165287	Animalia	Chordata	Mammalia	Rodentia	Caviidae	Cavia	Cavia porcellus		SPECIES	Cavia porcellus (Linnaeus"," 1758)	Cavia porcellus		EC		Tungurahua	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-1.370556	-78.5175							2020-08-15T10:13:51	15	8	2020	5219702	5219702	HUMAN_OBSERVATION	iNaturalist	Observations	57165287		Ana Mireya Guerrero G.		CC_BY_NC_4_0	Jonathan Cruz	Jonathan Cruz			2020-10-18T15:27:14.941Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84",,,,,,,,,
"2852381609	882d105b-fa99-4c3b-a736-b43674ce91f3		Animalia	Chordata	Mammalia	Rodentia	Caviidae	Cavia	Cavia porcellus		SPECIES	Cavia porcellus (Linnaeus"," 1758)	Cavia porcellus Linnaeus"," 1758					PRESENT		7a070ba0-bafb-11d9-8e53-b8a03c50a862													5219702	5219702	UNKNOWN	Biodiversitätsdatenbank des Landes Salzburg	Biodiversitätsdatenbank des Landes Salzburg	1338215				CC_BY_4_0					2020-09-05T09:07:18.894Z		BASIS_OF_RECORD_INVALID",,,,,,,,
"2852379724	882d105b-fa99-4c3b-a736-b43674ce91f3		Animalia	Chordata	Mammalia	Rodentia	Caviidae	Cavia	Cavia porcellus		SPECIES	Cavia porcellus (Linnaeus"," 1758)	Cavia porcellus Linnaeus"," 1758					PRESENT		7a070ba0-bafb-11d9-8e53-b8a03c50a862													5219702	5219702	UNKNOWN	Biodiversitätsdatenbank des Landes Salzburg	Biodiversitätsdatenbank des Landes Salzburg	1340790				CC_BY_4_0					2020-09-05T09:07:18.560Z		BASIS_OF_RECORD_INVALID",,,,,,,,
